Monthly Central England precipitation (mm). Daily automated values used after 1996.
Wigley & Jones (J.Climatol.,1987), Gregory et al. (Int.J.Clim.,1991)
Jones & Conway (Int.J.Climatol.,1997), Alexander & Jones (ASL,2001). Values may change after QC.
 1957  37.2  57.7  52.0   6.5  31.5  51.9  76.3  69.3 102.6  36.0  49.8  51.7  622.5
 1958  64.3  87.0  39.6  22.9  60.0 102.6  92.5  78.7  68.4  56.7  37.0  62.1  771.7
 1959  80.0   4.3  54.0  59.8  14.9  32.2  52.0  25.2   3.7  48.2  57.4  89.9  521.6
 1960 108.8  50.8  31.5  22.7  26.7  40.0  85.6  78.9  94.2 126.0  93.7  84.9  843.8
 1961  66.5  41.7   9.9  62.5  25.5  28.9  55.0  67.0  58.7  69.5  46.6  78.4  610.2
 1962  55.5  19.9  29.1  54.9  48.6   7.9  42.7  84.1  76.4  20.8  46.3  45.7  531.8
 1963  25.1  18.0  63.8  49.9  41.2  62.0  48.3 100.6  47.5  37.2  90.1  14.4  598.1
 1964  19.5  22.5  82.1  53.0  28.6  77.8  32.8  42.0  14.6  31.1  31.2  48.5  483.7
 1965  57.5  18.5  58.2  52.3  47.1  51.0  81.0  55.7 117.1  15.0  78.2 120.1  751.8
 1966  35.4  89.1  22.6  78.6  46.6  73.2  71.9  93.6  39.7  86.7  62.0  78.5  777.9
 1967  27.5  49.9  29.6  45.9 122.1  25.6  40.3  51.2  53.2 105.4  46.0  47.2  643.8
 1968  47.5  32.5  24.5  55.5  59.1  77.3 102.1  76.7 117.3  52.9  60.2  52.4  757.9
 1969  67.5  58.9  60.5  54.6 120.5  39.4  75.9  61.6  17.4   8.6  89.9  62.8  717.6
 1970  59.6  62.0  47.3  70.5  15.2  27.1  52.2  63.1  34.0  29.0 126.4  39.8  626.2
 1971  80.5  17.7  47.4  44.4  41.2  71.5  40.6  93.9  24.1  54.1  76.5  29.4  621.2
 1972  64.7  38.5  59.0  41.9  48.8  50.3  58.8  27.4  43.0  18.3  56.6  65.5  572.8
 1973  22.5  26.1  17.5  51.9  71.8  76.1  89.3  29.7  61.4  42.2  28.1  40.7  557.2
 1974  53.0  56.5  28.1  10.3  19.7  55.3  56.1  89.9  78.7  97.0  82.8  35.1  662.4
 1975  61.5  21.7  83.8  65.6  49.5  19.9  41.0  24.4  60.2  22.3  51.4  42.1  543.4
 1976  43.9  20.3  23.8  14.2  51.6  11.6  23.3  40.9 108.2 106.2  47.9  65.4  557.3
 1977  76.4 114.8  43.4  33.0  44.0  69.5  13.0  85.8  19.6  25.8  64.5  63.7  653.4
 1978  77.2  50.4  48.6  41.4  50.0  71.2  62.7  58.4  41.7   9.0  27.2 128.6  666.3
 1979  67.9  63.0  94.0  57.2 107.1  25.0  27.9  74.0  20.9  56.3  52.3 107.0  752.5
 1980  57.8  66.2  69.3  20.1  25.8  96.5  68.7  79.2  34.8  88.1  63.3  41.2  710.9
 1981  40.6  40.8 101.2  76.7  65.1  25.3  47.1  48.5  92.2  68.2  34.0  54.5  694.1
 1982  40.6  20.9  69.8  18.9  42.3 127.0  24.9  90.6  59.9  81.0  66.3  52.1  694.3
 1983  51.6  37.7  43.1 105.9  98.9  25.9  39.5  15.0  80.0  39.2  43.7  61.4  641.9
 1984  90.1  43.3  52.0  12.2  66.2  47.5  25.0  61.5  88.8  49.5  97.7  41.6  675.4
 1985  56.1  16.9  46.4  51.6  72.7  97.8  60.7  60.4  18.7  34.1  59.4  88.8  663.7
 1986  70.3  23.4  58.4  66.0  77.2  28.9  48.8 100.2  21.0  58.0  66.3  81.6  700.0
 1987  28.3  37.4  60.9  54.1  40.4  93.9  51.6  73.9  46.1 116.5  51.4  30.6  685.0
 1988 101.7  36.4  77.3  32.6  45.6  40.8 108.4  47.4  46.5  49.4  36.6  24.9  647.7
 1989  27.1  38.3  53.2  82.4  17.1  52.0  44.6  37.7  29.2  52.6  40.3 107.2  581.8
 1990  59.6  79.0  16.2  29.1  17.4  48.5  26.7  32.6  39.2  61.7  53.8  57.7  521.4
 1991  52.0  41.1  38.0  51.2  11.5  73.3  39.4  19.8  59.8  35.1  52.2  28.4  501.8
 1992  54.4  21.4  59.2  42.9  47.4  34.6  96.6  98.7  85.6  75.4  91.8  44.7  752.6
 1993  55.6  14.2  15.7  73.4  55.6  54.0  77.2  48.1 101.9  76.6  75.0  93.2  740.4
 1994  80.3  49.8  52.9  50.5  48.5  22.7  41.3  49.8 100.2  64.3  46.4  66.8  673.4
 1995  98.3  64.2  50.1  16.9  37.5  18.0  24.1   7.8  98.8  22.1  53.6  73.1  564.4
 1996  33.2  49.9  24.2  24.1  30.1  25.2  36.6  67.5  18.6  50.6  86.5  51.3  497.8
 1997  14.7  46.2  16.4  24.3  58.3 127.3  58.7  81.9  18.8  55.5  68.6  66.4  637.2
 1998  80.6  10.2  57.3 111.4  16.3  96.9  26.5  47.0  62.7  99.3  49.1  75.7  733.0
 1999  83.7  35.5  67.8  57.0  42.7  75.5  27.3  99.8  81.8  76.4  40.2  69.2  757.0
 2000  18.7  52.7  21.1 103.9  88.2  22.0  57.8  55.2 101.9 104.7 108.0  69.7  804.1
 2001  45.9  77.8  72.7  83.1  46.2  35.3  76.8  71.9  84.7  80.0  43.5  27.0  745.0
 2002  44.6  59.0  32.0  32.7  54.2  34.2 108.6  57.2  33.1 105.3  96.3 103.2  760.4
 2003  67.4  18.6  24.1  28.2  55.6  91.9  59.6  12.9  24.6  49.5  63.8  70.7  567.0
 2004  85.4  34.9  31.1  76.5  41.0  47.2  84.6 146.7  38.4 100.6  39.1  24.0  749.3
 2005  30.0  42.8  34.4  48.3  40.1  53.8  60.9  70.6  62.5  69.8  45.5  34.1  591.0
 2006  18.1  40.1  47.1  38.0  87.9  13.9  39.2  98.6  63.8  72.3  62.1  62.0  643.1
 2007  64.2  68.8  44.2   5.7 114.5 141.4 112.3  46.1  31.8  39.0  47.0  52.7  767.7
 2008  91.1  25.9  77.0  55.2  53.0  49.0  69.4  92.4  73.7  61.7  76.2  41.1  765.7
 2009  51.7  47.5  30.5  24.5  45.6  57.3 103.9  43.2  18.5  49.1  95.3  69.1  636.4
 2010  52.5  69.3  41.8  24.4  23.5  46.6  38.9 107.7  64.6  56.4  53.2  20.4  599.3
 2011  42.7  51.3   7.7   5.6  30.0  52.0  46.0  58.8  25.1  35.7  28.3  60.5  443.7
 2012  41.9  20.5  30.8 125.4  44.9 118.2  99.3  66.7  55.1  76.5  91.2 105.8  876.3
 2013  49.7  33.8  51.6  14.3  62.0  31.2  48.0  44.5  32.6 103.1  46.7  46.5  564.0
 2014 105.5  61.4  31.2  27.1 105.0  40.9  51.2  88.6  12.1 -99.9 -99.9 -99.9  522.9
